wyzsze,srednie,zaw,pods
107,408,206,279
130,421,240,209
66,317,330,287
104,382,244,271
119,389,240,252
66,307,316,311
80,356,263,300
92,394,279,235
97,352,261,291
142,383,264,211
80,350,277,293
92,357,315,236
77,325,347,250
101,339,329,230
140,468,183,209
102,373,265,259
152,401,246,201
65,337,354,244
102,412,222,264
74,440,238,248
56,317,295,332
109,438,233,219
131,416,216,236
131,444,197,227
116,413,215,255
84,355,285,276
73,350,315,262
118,361,294,227
82,313,346,259
104,420,245,232
102,404,240,253
81,391,258,270
45,290,329,336
83,407,248,261
87,349,313,251
108,351,302,239
105,366,348,181
121,406,258,214
102,380,306,212
154,422,222,202
,,,
,,,
,,,
,,,
,,,
46,241,344,368
22,159,353,466
38,257,384,321
42,224,407,327
10,179,299,513
42,233,342,383
51,331,349,269
43,343,286,329
37,236,420,307
27,219,375,379
83,306,340,270
57,263,336,344
35,259,418,288
0,185,361,454
63,313,300,325
42,372,292,294
37,486,154,323
38,234,425,303
23,208,335,434
39,266,311,383
21,207,317,455
25,141,404,429
51,234,400,315
62,317,384,237
64,269,348,319
71,268,339,323
9,243,392,356
8,149,430,413
24,129,347,500
30,249,435,287
13,243,322,421
42,189,324,444
25,255,285,435
26,269,338,367
34,219,313,434
15,175,327,484
36,253,333,378
20,148,373,459
30,164,328,479
14,214,286,486
48,211,313,427
13,167,367,454
19,179,288,513
16,96,240,648
43,191,380,385
23,189,316,471
87,282,284,348
16,217,341,426
16,231,446,306
31,241,412,316
93,199,326,381
10,161,416,413
21,219,370,391
36,193,377,395
38,280,306,376
48,244,379,329
47,251,277,424
114,462,217,206
36,198,327,439
45,196,354,406
11,239,462,288
0,183,452,365
0,248,307,446
52,208,401,339
18,192,386,404
21,148,392,439
16,186,368,430
77,328,377,218
22,227,363,388
58,333,288,321
31,224,349,395
35,231,347,387
28,217,362,394
45,258,326,371
35,213,417,335
21,222,340,417
35,194,420,352
18,196,313,472
18,277,209,496
8,200,367,425
12,183,350,455
25,264,402,309
40,282,324,354
27,262,383,328
49,239,415,298
38,175,423,363
59,301,367,273
65,223,375,336
33,273,333,360
26,317,289,368
43,297,329,331
25,211,410,354
54,307,345,294
29,237,380,355
42,449,159,350
21,177,391,410
39,254,364,343
44,208,306,443
68,373,247,311
26,209,441,324
28,195,374,402
38,245,342,375
31,208,376,384
11,132,461,396
35,202,390,373
54,270,389,287
60,326,315,298
52,274,396,278
42,250,353,355
28,196,419,357
41,345,389,224
69,297,343,291
31,255,389,325
28,196,393,383
27,210,367,396
71,232,353,344
19,154,373,455
43,209,374,375
28,195,399,378
26,222,363,389
49,195,378,378
51,271,399,279
61,297,375,267
25,195,399,381
24,193,467,317
39,206,381,375
39,198,398,364
81,271,349,299
60,279,368,293
43,186,385,387
29,248,528,195
54,206,387,353
42,305,371,283
50,257,388,305
27,201,397,376
28,178,424,370
20,224,312,444
28,248,306,418
31,213,388,368
14,174,493,319
5,89,437,469
21,115,340,525
30,219,368,383
45,271,332,352
42,223,328,407
15,154,383,448
36,345,320,299
30,244,366,359
10,41,309,639
25,153,237,585
41,160,443,356
10,71,377,542
0,66,316,618
0,190,238,571
6,133,418,442
18,162,400,421
12,116,400,472
0,86,286,629
13,94,289,604
58,230,331,381
26,216,366,392
15,227,273,485
33,231,296,441
31,157,287,525
67,353,291,288
34,223,332,410
19,148,383,450
17,79,400,504
54,222,362,362
32,170,320,479
42,247,358,353
48,297,232,422
19,146,394,441
26,237,324,413
41,228,364,366
14,115,350,521
48,241,270,441
